Id,FromAddress,ToAddress,Speed,Type,PermitDirection,Reverse
30101,10062,10063,1000,Horizontal,Forward,N
30102,10063,10001,1000,Horizontal,Forward,N
30103,10001,10002,1000,Horizontal,Forward,N
30201,10002,10003,1000,Horizontal,Forward,N
30301,10003,12004,1000,Horizontal,Forward,N
30302,12004,12005,1000,Horizontal,Forward,N
30303,12005,12006,1000,Horizontal,Forward,N
30304,12006,12007,1000,Horizontal,Forward,N
30305,12007,12008,1000,Horizontal,Forward,N
30306,12008,12009,1000,Horizontal,Forward,N
30307,12009,12010,1000,Horizontal,Forward,N
30308,12010,12011,1000,Horizontal,Forward,N
30309,12011,10012,1000,Horizontal,Forward,N
30401,10012,10013,1000,Horizontal,Forward,N
30402,10013,12014,1000,Horizontal,Forward,N
30403,12014,12015,1000,Horizontal,Forward,N
30404,12015,12016,1000,Horizontal,Forward,N
30405,12016,12017,1000,Horizontal,Forward,N
30406,12017,10018,1000,Horizontal,Forward,N
30407,10018,10019,1000,Horizontal,Forward,N
30501,10019,10022,1000,Horizontal,Forward,N
30502,10022,10023,1000,Horizontal,Forward,N
30503,10023,10024,1000,Horizontal,Forward,N
30601,10024,10025,1000,Horizontal,Forward,N
30602,10025,10026,1000,Horizontal,Forward,N
30603,10026,19027,1000,Horizontal,Forward,N
30604,19027,10028,1000,Horizontal,Forward,N
30605,10028,10029,1000,Horizontal,Forward,N
30606,10029,10030,1000,Horizontal,Forward,N
30607,10030,10031,1000,Horizontal,Forward,N
30701,10031,10032,1000,Horizontal,Forward,N
30801,10032,10037,1000,Horizontal,Forward,N
30901,10037,10038,1000,Horizontal,Forward,N
31001,10012,10020,1000,Horizontal,Forward,N
31002,10020,10021,1000,Horizontal,Forward,N
31003,10021,10019,1000,Horizontal,Forward,N
31101,10024,10085,1000,Horizontal,Forward,N
31102,10085,12085,1000,Horizontal,Forward,N
31103,12085,12086,1000,Horizontal,Forward,N
31104,12086,12087,1000,Horizontal,Forward,N
31105,12087,12088,1000,Horizontal,Forward,N
31106,12088,10089,1000,Horizontal,Forward,N
31107,10089,10031,1000,Horizontal,Forward,N
31201,10032,10033,1000,Horizontal,Forward,N
31202,10033,10034,1000,Horizontal,Forward,N
31203,10034,10003,1000,Horizontal,Forward,N
31301,10038,10102,1000,Horizontal,Forward,N
31401,10102,12103,1000,Horizontal,Forward,N
31402,12103,12104,1000,Horizontal,Forward,N
31403,12104,12105,1000,Horizontal,Forward,N
31404,12105,12106,1000,Horizontal,Forward,N
31405,12106,12107,1000,Horizontal,Forward,N
31406,12107,12108,1000,Horizontal,Forward,N
31407,12108,12109,1000,Horizontal,Forward,N
31408,12109,12110,1000,Horizontal,Forward,N
31409,12110,12111,1000,Horizontal,Forward,N
31410,12111,12112,1000,Horizontal,Forward,N
31411,12112,12113,1000,Horizontal,Forward,N
31412,12113,12114,1000,Horizontal,Forward,N
31413,12114,12115,1000,Horizontal,Forward,N
31414,12115,12116,1000,Horizontal,Forward,N
31415,12116,12117,1000,Horizontal,Forward,N
31416,12117,12118,1000,Horizontal,Forward,N
31417,12118,12119,1000,Horizontal,Forward,N
31418,12119,12120,1000,Horizontal,Forward,N
31419,12120,12121,1000,Horizontal,Forward,N
31420,12121,12122,1000,Horizontal,Forward,N
31421,12122,10123,1000,Horizontal,Forward,N
31422,10123,10090,1000,Horizontal,Forward,N
31423,10090,10091,1000,Horizontal,Forward,N
31501,10091,10092,1000,Horizontal,Forward,N
31502,10092,10093,1000,Horizontal,Forward,N
31503,10093,10094,1000,Horizontal,Forward,N
31504,10094,10095,1000,Horizontal,Forward,N
31601,10095,10096,1000,Horizontal,Forward,N
31701,10096,10097,1000,Horizontal,Forward,N
31702,10097,11098,1000,Horizontal,Forward,N
31703,11098,10099,1000,Horizontal,Forward,N
31801,10099,10100,1000,Horizontal,Forward,N
31802,10100,10101,1000,Horizontal,Forward,N
31803,10101,10102,1000,Horizontal,Forward,N
31901,10091,10124,1000,Horizontal,Forward,N
31902,10124,10125,1000,Horizontal,Forward,N
31903,10125,10126,1000,Horizontal,Forward,N
32001,10126,10127,1000,Horizontal,Forward,N
32002,10127,10095,1000,Horizontal,Forward,N
32101,10096,10128,1000,Horizontal,Forward,N
32102,10128,10129,1000,Horizontal,Forward,N
32103,10129,10130,1000,Horizontal,Forward,N
32104,10130,10126,1000,Horizontal,Forward,N
32201,10038,12039,1000,Horizontal,Forward,N
32202,12039,12040,1000,Horizontal,Forward,N
32203,12040,12041,1000,Horizontal,Forward,N
32204,12041,12042,1000,Horizontal,Forward,N
32205,12042,10043,1000,Horizontal,Forward,N
32206,10043,10044,1000,Horizontal,Forward,N
32301,10100,10044,1000,Horizontal,Forward,N
32401,10044,10045,1000,Horizontal,Forward,N
32501,10045,10046,1000,Horizontal,Forward,N
32601,10046,11047,1000,Horizontal,Forward,N
32602,11047,10048,1000,Horizontal,Forward,N
32701,10048,11049,1000,Horizontal,Forward,N
32702,11049,10050,1000,Horizontal,Forward,N
32703,10050,10051,1000,Horizontal,Forward,N
32704,10051,10052,1000,Horizontal,Forward,N
32705,10052,11053,1000,Horizontal,Forward,N
32706,11053,11054,1000,Horizontal,Forward,N
32707,11054,12055,1000,Horizontal,Forward,N
32708,12055,12056,1000,Horizontal,Forward,N
32709,12056,12057,1000,Horizontal,Forward,N
32710,12057,12058,1000,Horizontal,Forward,N
32711,12058,10059,1000,Horizontal,Forward,N
32801,10059,10060,1000,Horizontal,Forward,N
32802,10060,10061,1000,Horizontal,Forward,N
32803,10061,10062,1000,Horizontal,Forward,N
32901,10048,10064,1000,Horizontal,Forward,N
32902,10064,10065,1000,Horizontal,Forward,N
32903,10065,12066,1000,Horizontal,Forward,N
32904,12066,12067,1000,Horizontal,Forward,N
32905,12067,12068,1000,Horizontal,Forward,N
32906,12068,12069,1000,Horizontal,Forward,N
32907,12069,12070,1000,Horizontal,Forward,N
32908,12070,12071,1000,Horizontal,Forward,N
32909,12071,12072,1000,Horizontal,Forward,N
32910,12072,12073,1000,Horizontal,Forward,N
32911,12073,10074,1000,Horizontal,Forward,N
33001,10074,10075,1000,Horizontal,Forward,N
33101,10075,12076,1000,Horizontal,Forward,N
33102,12076,12077,1000,Horizontal,Forward,N
33103,12077,12078,1000,Horizontal,Forward,N
33104,12078,12079,1000,Horizontal,Forward,N
33105,12079,10080,1000,Horizontal,Forward,N
33106,10080,10081,1000,Horizontal,Forward,N
33201,10081,10082,1000,Horizontal,Forward,N
33202,10082,10062,1000,Horizontal,Forward,N
33301,10002,10035,1000,Horizontal,Forward,N
33302,10035,10036,1000,Horizontal,Forward,N
33303,10036,10037,1000,Horizontal,Forward,N
33401,10074,10083,1000,Horizontal,Forward,N
33402,10083,10046,1000,Horizontal,Forward,N
33501,10045,10084,1000,Horizontal,Forward,N
33502,10084,10075,1000,Horizontal,Forward,N
33601,10059,10081,1000,Horizontal,Forward,N
