ID,EQ_NAME,EQ_NUMBER
B6_OHB01_CR01,OHT,CR01
B6_OHB01_CR02,OHT,CR02
B6_OHB01_CR03,OHT,CR03
B6_OHB01_CR04,OHT,CR04
B6_OHB01_CR05,OHT,CR05
B6_OHB01_CR06,OHT,CR06
B6_OHB01_CR07,OHT,CR07
B6_OHB01_CR08,OHT,CR08
B6_OHB01_CR09,OHT,CR09
B6_OHB01_CR10,OHT,CR10
B6_OHB01_CR11,OHT,CR11
B6_OHB01_M01,MANUAL PORT,M01
B6_OHB01_M02,MANUAL PORT,M02
B6_OHB01_M03,MANUAL PORT,M03
B6_OHB01_M04,MANUAL PORT,M04
B6_OHB01_M05,MANUAL PORT,M05
B6_OHB01_M06,MANUAL PORT,M06
B6_OHB01_M07,MANUAL PORT,M07
B6_OHB01_M08,MANUAL PORT,M08
B6_OHB01_M09,MANUAL PORT,M09
B6_OHB01_M10,MANUAL PORT,M10
R1,TRACK,R1
R2,TRACK,R2
R3,TRACK,R3
R4,TRACK,R4
R5,TRACK,R5
R6,TRACK,R6
R7,TRACK,R7
R8,TRACK,R8
R9,TRACK,R9
R10,TRACK,R10
R11,TRACK,R11
R12,TRACK,R12
R13,TRACK,R13
R14,TRACK,R14
R15,TRACK,R15
R16,TRACK,R16
R17,TRACK,R17
R18,TRACK,R18
R19,TRACK,R19
R20,TRACK,R20
R21,TRACK,R21
R22,TRACK,R22
R23,TRACK,R23
R24,TRACK,R24
R25,TRACK,R25
R26,TRACK,R26
R27,TRACK,R27
R28,TRACK,R28
R29,TRACK,R29
R30,TRACK,R30
R31,TRACK,R31
R32,TRACK,R32
R33,TRACK,R33
R34,TRACK,R34
R35,TRACK,R35
R36,TRACK,R36
R37,TRACK,R37
R38,TRACK,R38
R39,TRACK,R39
R40,TRACK,R40
R41,TRACK,R41
R42,TRACK,R42
R43,TRACK,R43
R44,TRACK,R44
R45,TRACK,R45
R46,TRACK,R46
R47,TRACK,R47
R48,TRACK,R48
R49,TRACK,R49
R50,TRACK,R50
R51,TRACK,R51
R52,TRACK,R52
R53,TRACK,R53
R54,TRACK,R54
R55,TRACK,R55
R56,TRACK,R56
R57,TRACK,R57
R58,TRACK,R58
R59,TRACK,R59
R60,TRACK,R60
R61,TRACK,R61
R62,TRACK,R62
R63,TRACK,R63
R64,TRACK,R64
R65,TRACK,R65
R66,TRACK,R66
R67,TRACK,R67
R68,TRACK,R68
R69,TRACK,R69
R70,TRACK,R70
R71,TRACK,R71
R72,TRACK,R72
