Id,PositionX,PositionY,VehicleHeadAngle,IsCharger,ChargeDirection,LoadUnloadDirection,PioDirection,SpecialTurn,InsideSectionId,AliasId
18001,0,25674,90,FALSE,None,None,None,TR50,0,
48002,2100,25674,90,FALSE,None,None,None,TR50,0,
48003,4770,25674,90,FALSE,None,None,None,TR50,0,
48004,7386,25674,90,FALSE,None,None,None,TR50,0,
52005,7386,25698,90,FALSE,None,Right,Right,TR50,0,STK190
28006,7386,20527,90,TRUE,Right,Right,Right,TR50,51,STK190
18008,7386,19175,90,FALSE,None,None,None,TR50,0,
48009,4770,19175,90,FALSE,None,None,None,,0,
48010,2100,19175,90,FALSE,None,None,None,TR50,0,
48011,0,19175,90,FALSE,None,None,None,TR50,0,
20012,0,20032,90,FALSE,None,Left,Left,TR50,11,
20013,0,22025,90,FALSE,None,Left,Left,TR50,11,
48014,4770,8492,90,FALSE,None,None,None,,0,
20015,4770,7599,90,FALSE,None,Right,Right,TR50,101,
52016,4770,5599,90,FALSE,None,Right,Right,TR50,0,
48017,-800,8492,90,FALSE,None,None,None,TR50,0,
20018,-800,8100,90,FALSE,None,Left,Left,TR50,131,
52019,-800,6102,90,FALSE,None,Left,Left,TR50,0,
48020,1399,8492,90,FALSE,None,None,None,,0,
48021,1399,5912,90,FALSE,None,None,None,TR50,0,
